type,1,2,3,4,5,6,7,8,9,10
normal,0.0,2.8204545e-18,3.618627e-15,1.927203e-17,0.0,0.0,0.0,1.5025872e-30,0.0,9.902832e-36
normal,2.4053078e-30,1.21725486e-11,0.0,0.0,1.4825849e-23,0.0,5.881152e-35,0.0,2.8380336e-27,3.3678003e-38
normal,3.8523757e-15,4.0969394e-30,1.5113861e-33,1.7846391e-22,1.5234423e-27,0.0,9.994097e-22,1.9412312e-15,0.0,0.0
normal,7.443448e-33,3.8069394e-24,6.4055986e-33,3.9493436e-32,1.9883435e-22,2.3779826e-12,6.705893e-26,8.400896e-29,1.6356987e-36,0.01928705
normal,0.0,0.9997653,6.7699394e-35,0.0,0.0,0.0,3.021947e-27,2.025393e-32,4.425051e-30,1.81504e-15
normal,1.6221967e-35,0.0,0.0,0.0,0.0,0.0,8.679633e-32,0.0,0.0,2.0101879e-35
normal,0.0,2.759152e-37,1.5612574e-38,1.4737044e-30,1.6605084e-34,0.0,1.4258869e-29,0.0,0.0,1.1281108e-30
attack,0.0,0.0,0.0,9.136917e-21,4.917857e-37,6.5060685e-35,9.6851745e-36,0.0,0.0,0.0
attack,0.0,0.0,0.99966156,1.0,3.0198788e-23,0.99999964,0.0,1.0,1.0,0.0
attack,0.0,1.0,1.0,2.039403e-09,0.0,1.0,6.8135396e-06,1.0,1.0,1.090596e-28
normal,0.0,1.6599603e-08,2.466662e-16,2.0732377e-21,2.5984124e-34,4.024425e-18,0.0,0.0,3.4622677e-31,0.0
attack,0.0,2.490994e-22,1.0,1.0,0.0,1.0,1.0,0.0,6.0153136e-36,1.0
attack,0.0,0.0,6.517576e-05,0.9999993,0.9999974,0.0,0.0,4.4928995e-12,2.9713935e-06,0.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,1.3207601e-12,0.0,1.7806814e-37,0.0
normal,1.0461744e-36,0.00011855365,6.415059e-34,1.245865e-14,7.454226e-12,0.99807036,4.292261e-06,2.5756415e-05,0.0,0.9909996
attack,0.0,0.9999832,0.9422456,1.0,8.2465434e-16,0.0,0.9999972,0.0,1.0,3.8993628e-15
normal,1.3628272e-25,4.6504657e-13,2.915415e-28,3.5609487e-06,1.214764e-37,0.0,0.0,0.0,1.752569e-19,2.4774338e-29
normal,0.0,0.0,6.3697334e-17,8.2102724e-35,0.0,0.0,0.0,0.0,0.0,0.0
normal,0.0,0.0,0.0,5.5164844e-30,0.0,0.0,6.439582e-10,3.405438e-35,3.1042607e-35,4.1962347e-25
normal,0.0,9.15373e-14,0.031881392,8.9073945e-23,1.7738303e-26,0.0,0.9999969,7.173507e-14,0.0,0.0
normal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
attack,0.0,0.0,1.0,1.0,1.0,1.9291457e-31,0.0,1.0,0.0,1.0
attack,1.7410868e-20,1.0,1.46299e-29,1.0,3.9944127e-35,1.0,1.0,0.0,1.0,5.0681025e-23
attack,0.0,0.0,0.0,1.0,0.99999785,1.0,1.0,3.494568e-29,1.0,1.1878411e-24
